,z1,z2,A,r1,r2,r,r0,h,L,Q_theor,eps_theor,etha_theor
0,7,8,137.0195865551732,63.94247372574749,73.0771128294257,21.75984694584503,5.376853675653263,221.10619196819115,153.33709446836866,527613186.27704257,2.467178533497171,0.7806087367256734
1,7,7,175.6112235284009,87.80561176420045,87.80561176420045,29.106799763278644,3.994214723051217,128.07993471439644,126.1525145899138,512252097.4384333,2.2600267229393625,0.7415157113395247
2,7,8,298.0055887072509,139.06927473005044,158.93631397720048,46.585002371661794,11.171325780559108,293.8665817541755,265.5813985298005,4553172679.78473,2.972345520011201,0.752771558414694
3,8,6,337.5855620791924,192.90603547382423,144.67952660536818,58.09216608836206,7.912879677031751,359.44264388001113,247.53345437295505,2154696246.4428244,2.9148412505597503,0.7844735269991167
4,8,6,205.5170496833632,117.43831410477898,88.07873557858423,35.345221479322845,9.772704887129521,136.92256370853278,130.12157451058337,412804700.9279429,2.293694844946983,0.74706550066889
5,7,8,332.6533812327411,155.23824457527917,177.41513665746191,56.8605950939799,5.1460769686408,431.1221513784117,278.5460734328738,5278438821.64279,3.010030017865684,0.7915800583154138
6,8,5,256.9062929509714,158.0961802775209,98.81011267345055,48.82471060837311,11.006399970063647,371.8062343499664,252.9303415781219,726464340.6876705,2.932700163346671,0.7786164719406855
7,8,7,166.76566042563485,88.94168556033858,77.82397486529626,27.01646786619212,5.863050593894204,208.0391892364924,140.03824096141523,433697610.1441043,2.3723825193361714,0.7862893991990222
8,8,7,238.522829778521,127.21217588187785,111.31065389664312,39.194753292025915,5.660174127346118,298.1170136123334,233.5870445368697,1489446371.2174437,2.865798139629345,0.7671816241205669
9,6,6,201.34433880735517,100.67216940367759,100.67216940367759,30.451181077698944,7.660462589652255,172.2869156050521,170.12025125425333,968786251.3407192,2.5721294009406064,0.7400044737408517
10,7,8,134.88682327597826,62.94718419545652,71.93963908052174,24.5157528706716,1.5388425424144152,91.11890633529762,80.78231257187129,204060473.81674433,1.7532751040749575,0.7580532229942156
11,8,7,214.9414906415248,114.6354616754799,100.30602896604492,35.089705476893435,5.517277195918152,267.4983725165241,202.14310615200677,1049162794.8116318,2.7371145367475505,0.7720520888230987
12,7,8,166.4920935230904,77.69631031077552,88.79578321231489,24.055128828696727,5.072746906732503,198.32047228663876,131.27564734655158,711572077.0416136,2.303241296283582,0.7903024006534236
13,6,7,211.68176196351996,97.69927475239382,113.98248721112614,36.31984572890152,2.015745627965661,326.1378640128343,242.40569426069104,1783570353.4798486,2.8973102678096927,0.7720929116108289
14,4,4,320.1888481114323,160.09442405571616,160.09442405571616,95.45006478377832,4.465010841225999,267.289816703684,231.0871955898811,1105590623.9754398,2.8565349840084253,0.7597313614476394
15,8,8,218.23058799287887,109.11529399643943,109.11529399643943,33.23554780851596,9.243316931614283,264.8180065386913,188.6069384176141,1440303774.4519353,2.672265600818446,0.7812443263601351
16,6,4,335.2099995231356,201.12599971388136,134.08399980925424,94.35217259899308,7.926098998717598,354.28081637112234,235.70029499233888,338775335.3328315,2.8735124953498037,0.7875599019496313
17,7,8,192.29465784446728,89.73750699408473,102.55715085038256,30.247572562415137,7.907101005431554,225.00484156361375,153.47361929550038,1052644132.2811998,2.4680944737548836,0.7873680817046073
